Region_ID,Name,Vertex_Count,Center_X,Center_Y,Center_Z,Extent_X,Extent_Y,Extent_Z,Approx_Area_mm2
0,Unknown/Medial Wall,25,35.08281188964844,23.532054710388184,-1.536983140707016,10.792716979980469,14.753774642944336,6.758805155754089,2.5
1,Left Frontal Pole,19,39.0006641588713,23.07838791295102,-14.893178362595407,11.745689392089844,4.86927604675293,16.630971431732178,1.9000000000000001
2,Left Superior Frontal,30,34.784586652119955,19.715590699513754,-8.105665365854898,13.286521911621094,13.219926834106445,6.798279762268066,3.0
3,Left Rostral Middle Frontal,43,30.863339180170104,16.35874034083167,-18.629952231118846,14.067623138427734,12.839452743530273,14.694097518920898,4.3
4,Left Caudal Middle Frontal,117,15.211960592840471,1.0855712160850182,-17.58087039197612,24.669273376464844,40.648813247680664,15.495121002197266,11.700000000000001
5,Left Pars Opercularis,15,12.958258946736654,18.203851000467935,-19.043206787109376,4.37558650970459,6.076520919799805,12.042329788208008,1.5
6,Left Pars Triangularis,20,11.475368213653564,23.595015907287596,-22.476121139526366,7.791059494018555,10.744037628173828,11.596658706665039,2.0
7,Left Pars Orbitalis,9,-47.03149710761176,-15.388192388746473,3.4620104365878634,7.197597503662109,6.155424118041992,8.758588194847107,0.9
8,Left Lateral Orbitofrontal,12,23.713709195454914,31.764371236165363,-17.523900906244915,4.332704544067383,6.439113616943359,11.384242057800293,1.2000000000000002
9,Left Medial Orbitofrontal,29,23.923582011255725,24.95313762796336,-21.641380046976025,14.501348495483398,14.038333892822266,11.920610427856445,2.9000000000000004
10,Left Precentral,10,35.754044723510745,36.35578651428223,-12.015281677246094,7.718101501464844,9.381996154785156,6.746040344238281,1.0
11,Left Paracentral,8,31.59242606163025,36.273332595825195,-10.832735896110535,4.211788177490234,6.246673583984375,4.606300354003906,0.8
12,Left Superior Parietal,23,11.843963125477666,31.31802102793818,-24.717104123986285,9.90307903289795,11.098039627075195,9.585641860961914,2.3000000000000003
